"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"JAML",493.680757829783,2.76963346510457,0.192499275867986,4.10630939787999e-48,6.51246262400615e-46,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LINC02273",25.6129321089337,3.51127335118149,0.244834892418604,1.11867615297304e-47,1.75875346484805e-45,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IL12B",21.12145594409,3.58280767741712,0.251041259473678,3.91192543895751e-47,6.08061460550569e-45,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV8-6",23.1001054688933,3.48133473804226,0.243853888891739,3.93491100024428e-47,6.08061460550569e-45,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SPIB",88.1771144702285,3.96825171317493,0.27995785442173,8.39180766345876e-47,1.28579561487571e-44,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"JAK3",833.182114128065,2.39440619569067,0.169084932360533,1.37082313086969e-46,2.065373517177e-44,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV4-69",669.979467467066,5.58373020439402,0.39501111592963,1.36587282647868e-46,2.065373517177e-44,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"SPOCK2",1687.93581251521,2.69802052198067,0.190818751274867,1.4081331205672e-46,2.10405345618636e-44,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"NCR3",31.2162227358853,3.57482576490627,0.254935854620953,1.07955516013046e-45,1.59986535206219e-43,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"POU2AF1",502.286819003815,4.28043986202409,0.306698572918316,1.69968191923359e-45,2.49839423575149e-43,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV5-1",33.9582981492354,3.30535516896529,0.236862596104912,2.1946855653666e-45,3.19999314692162e-43,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"FCRL6",86.4000985588445,2.91401659827572,0.209631292685443,4.27181736920477e-45,6.17875664281778e-43,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV4-34",1194.21889988815,5.63847902877663,0.40620085123213,4.7736122289419e-45,6.84975469041822e-43,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GRAP2",218.628868973266,2.61312265039184,0.188499484537884,7.25513059898655e-45,1.03285638763525e-42,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LAX1",228.615518156088,3.78481222501177,0.273234935048905,7.96807508983954e-45,1.12549060643984e-42,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PSTPIP1",287.907222221409,2.47436817402691,0.178661083208039,9.46099241100122e-45,1.32600575806901e-42,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGHV3-30",1474.63301934399,4.9981818274858,0.396549482271296,4.46545836497338e-44,6.21042209528606e-42,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GPR18",57.9132015654497,2.69588720974068,0.196360369101211,4.6329550756062e-44,6.39418532572215e-42,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV1-40",3710.05445719294,5.55488362586978,0.406997757266765,1.18450583923863e-43,1.62241405859351e-41,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"RASAL3",559.646840366445,1.99289055640664,0.145814826006223,1.51692867367961e-43,2.06211055790431e-41,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV2-30",439.393938629317,5.2547794327257,0.385719987538846,1.68163997321773e-43,2.26895900864004e-41,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGLC3",5329.17833620042,4.84042220504397,0.357105595478776,4.12642092718291e-43,5.52634743433088e-41,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV18",16.4715799743587,3.48270634474647,0.258727606442881,1.52469811963857e-42,2.02695161787245e-40,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"ARHGAP9",437.657827150668,2.12967365610758,0.15789602825742,1.60048501682974e-42,2.11217292731983e-40,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"PLAC8",122.206762106416,3.1001414538567,0.230658157377245,1.80118547978986e-42,2.3598140198986e-40,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV2",18.0460717903075,3.58368093310745,0.266035711001803,1.90368261499453e-42,2.47615695533102e-40,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CTLA4",162.368575537187,3.03729642688705,0.227097623027744,5.88146158887579e-42,7.54161883169322e-40,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IKZF1",1075.1009517928,2.31281024635987,0.172921210879552,5.87960873306357e-42,7.54161883169322e-40,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"EOMES",202.49107619025,3.64681522894393,0.273445551852208,8.79741422296499e-42,1.12012147289582e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TNFRSF17",92.9286990634272,4.4470813251414,0.333635415145592,8.95856683244816e-42,1.13266355475988e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV8-3",18.4581743201706,3.35909422101268,0.251970913340924,1.34109239759473e-41,1.68381601031339e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"GBP4",5955.26408594659,3.20980924412359,0.241926111667278,2.700356337472e-41,3.36706500562026e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAC",2043.95076530453,2.70420567132849,0.203747307358083,2.92809268289898e-41,3.62602162375435e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGHM",27364.5464915763,5.5317916615933,0.413456413952398,3.56032141710394e-41,4.37895314430199e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IGLV3-21",3132.4945528433,6.16670160983453,0.40780863569779,3.73645230076686e-41,4.56453091877465e-39,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV6-5",22.8352250528682,3.52577089833243,0.267436522096878,8.4705852198219e-41,1.02784013942537e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"CLEC4E",136.102410717466,3.50598346595479,0.267525104104744,2.05515418032142e-40,2.47714583868075e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"MEI1",170.598084239204,2.39690719487674,0.183299766759354,3.12759049504052e-40,3.74482358611474e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TMIGD2",14.564760725098,3.54498679723256,0.27061998252268,3.85951041559291e-40,4.59078607328419e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TBC1D10C",443.992318177355,2.13892562192482,0.163638091029309,3.89608928951812e-40,4.60400616695997e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"IL7R",1425.55179422083,3.03087475443782,0.232868757437369,7.24084146245624e-40,8.50093595072785e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"LINC00996",33.5416631500578,3.25225250298222,0.249801589256186,8.08489313252383e-40,9.43063663458263e-38,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV8-4",16.5057117677519,3.51065333964275,0.269748046776545,9.09272654559772e-40,1.05382369195133e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV6-3",13.2453870902997,3.99808637293366,0.305924585598854,1.10781930158569e-39,1.27575624029741e-37,"LumB","High_Q4_vs_Low_Q1","UP",TRUE
