"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","subtype","comparison","direction","significant"
"SCML4",139.846398903061,3.50420673750032,0.351287584578686,1.31876098924067e-24,1.55337977438532e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"APOBEC3C",1546.28909276728,2.0164037058181,0.201339038547564,1.38735218916903e-24,1.62356241254573e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"GPR171",133.096872426677,3.42832835039087,0.343278400190694,1.40414131654282e-24,1.63260869720869e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"IGKV1-39",487.531158169671,6.62104089058559,0.668603309799986,1.93492176682464e-24,2.23533077446882e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"FGR",595.107424266118,1.82236509465122,0.18334737453916,2.29852659548702e-24,2.63847428687051e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SP140",386.103892594138,2.77795892929356,0.280211923988921,2.46062903722934e-24,2.79196427062066e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PCED1B-AS1",403.923896485404,2.81434385935837,0.28412488107608,2.46322449799514e-24,2.79196427062066e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV5-6",17.8697360168511,4.30583190698882,0.431406528687851,2.52780862740693e-24,2.84726044269548e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"PRKCQ",180.860236939897,2.94846598341124,0.297448678903101,2.63089486519693e-24,2.944968152831e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV9",26.6520930616974,3.810373185829,0.383886251949777,2.97613053688322e-24,3.27911700949654e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV19",57.9903337669773,3.6697758810427,0.370856193404247,2.98164485984596e-24,3.27911700949654e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRBV5-4",23.3208715444311,4.09239749521725,0.411815084805846,2.98399283962619e-24,3.27911700949654e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"TRAV14DV4",17.1033317298055,4.46992195958073,0.44711300179288,3.12660982296341e-24,3.41501589269374e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"SLFN12L",43.4299681724983,2.96004777376777,0.297950901966264,3.8122525974596e-24,4.13882025972391e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"C11orf21",88.5710745341926,3.36321650019268,0.341311041710861,4.44309772215689e-24,4.79482078734799e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"INPP5D",1718.89677559955,1.83022866394883,0.184777081245268,4.50268257520314e-24,4.83019912918518e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
"IL12RB1",313.058431750714,2.59793128761691,0.263908244327475,5.26966192060152e-24,5.61951758183908e-22,"Her2","High_Q4_vs_Low_Q1","UP",TRUE
