"gene","n_subtypes","subtypes_list","mean_lfc"
"FBLN7",1,"Basal",-1.65442227944119
"AQP3",1,"LumB",-1.65362403296791
"LINC02620",1,"Basal",-1.65352404045336
"PVALB",1,"LumA",-1.6517338650178
"BCYRN1",1,"Basal",-1.65120039485692
"DYNC1I1",1,"Basal",-1.64952150778707
"LINC00173",1,"Her2",-1.64918699973487
"DUOXA1",1,"Normal",-1.64777840351528
"RBM24",1,"LumB",-1.6412931910754
"MKX",1,"LumA",-1.63804748349001
"ENTPD2",1,"Basal",-1.63743507663787
"SLC38A11",1,"LumB",-1.63488984843418
"SPESP1",1,"Her2",-1.62989526628623
"PAH",1,"LumA",-1.62981074746304
"NCALD",1,"Basal",-1.62949434901972
"ANKRD35",1,"Basal",-1.62689123117545
"ZBTB20",1,"Basal",-1.62550863152529
"ARNT2-DT",1,"Her2",-1.62325231685623
"COL26A1",1,"Basal",-1.62193252530196
"FGFR3",1,"Basal",-1.61543987743396
"GRIN2C",1,"Basal",-1.61452138721509
"NPY5R",1,"LumA",-1.6130921157558
"SPSB4",1,"Basal",-1.61287238265025
"MIR200CHG",1,"Normal",-1.61170864517047
"GREM2",1,"Basal",-1.6081948763447
"NES",1,"Basal",-1.60744046030138
"LINC00922",1,"Basal",-1.60585044754772
"HSPB8",1,"Her2",-1.60451512134544
"LINC00052",1,"LumA",-1.60190098665589
"LINC01711",1,"Basal",-1.6004507121716
"GPR141",1,"Her2",-1.59400914417846
"MUC5B",1,"Her2",-1.59252850354892
"IGF1R",1,"Her2",-1.59104204326683
"GALNT13",1,"Basal",-1.59008370888477
"HSD17B2",1,"Normal",-1.58877457934818
"NPNT",1,"LumB",-1.58801263100062
"FGF10",1,"LumA",-1.58581026044121
"MYL7",1,"LumA",-1.58572308202396
"TBX2",1,"Basal",-1.58245823947423
"NPTX1",1,"Normal",-1.58041825888253
"FCGBP",1,"LumB",-1.57911950158468
"TM4SF1",1,"LumB",-1.57776664087523
"HLF",1,"Normal",-1.57636376311727
"PRTG",1,"Basal",-1.57594500815329
"WSCD2",1,"Normal",-1.57241760380012
"DOK6",1,"Basal",-1.56812084161373
"NOS2",1,"Basal",-1.56397727513951
"GRP",1,"Basal",-1.56294150727185
"TEX14",1,"Her2",-1.56264258127855
"CPEB1",1,"Basal",-1.562642014221
"ADAMTS9",1,"Basal",-1.56244297467844
"WNT11",1,"Her2",-1.55916742924109
"PSD3",1,"Her2",-1.5589565951932
"CLDN6",1,"Basal",-1.55862515808729
"CUX2",1,"LumA",-1.55825994482
"SLC4A4",1,"LumA",-1.55788181989142
"H4C4",1,"LumA",-1.557480366781
"MNX1-AS2",1,"Basal",-1.55593102767075
"CCER2",1,"Basal",-1.55414859281184
"EFR3B",1,"Basal",-1.5521936153324
"CYP2C8",1,"LumA",-1.54977330019428
"CLCNKA",1,"Her2",-1.54854003760707
"NFIB-AS1",1,"Normal",-1.54197629651485
"RETN",1,"Basal",-1.5414193382001
"RERGL",1,"Basal",-1.53682886422366
"LRTM2",1,"LumA",-1.53173786048493
"PNMT",1,"Basal",-1.53001608472912
"TCF15",1,"Basal",-1.52897594207163
