"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING",0.291101271246965,0.533190249885022,0.0285202432688668,0.483509265464482,1.13852132577926,41,"FYN,ARPC1B,LYN,ACTR2,ARPC2,EPHB4,ARPC5,ACTR3,PAK1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"EPHB MEDIATED FORWARD SIGNALING",9
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING",0.293818571046294,0.533190249885022,0.041089379907776,-0.44262685194315,-1.12614602028494,25,"CAMK2B,RPS6KA6,GRIN2D,DLG2,HRAS","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR MEDIATED ACTIVATION OF RAS SIGNALING",5
"REACTOME_SIGNALING_BY_FGFR1",0.30056647784072,0.539184139637932,0.0458329302910375,-0.387595181986363,-1.10100625132287,41,"PPP2R1A,SPRY2,FGF1,TGFBR3,FGFR1,SPRED2,PIK3R1,GAB1,HRAS,RPS27A,FGF2,PPP2CB,FRS2,UBA52","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY FGFR1",14
"REACTOME_SIGNALING_BY_FGFR3",0.303789913458669,0.540838103505964,0.0428654269061935,-0.411429977117098,-1.10872582346832,33,"PPP2R1A,SPRY2,FGF1,GALNT3,PIK3R1,GAB1,HRAS,RPS27A,FGFR3,FGF2,PPP2CB,FRS2,UBA52","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY FGFR3",13
"REACTOME_SIGNALING_BY_BMP",0.312689237544729,0.552496021225649,0.0403096907892751,-0.42786186933084,-1.10698573303735,27,"ACVR2B,ACVR2A,GREM2,SMAD4,TGFBR3,BMPR1A","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SIGNALING BY BMP",6
"REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING",0.323626234489744,0.567553470933507,0.0376978125856325,-0.457191080928899,-1.11111699832333,21,"NRG2,NRG1,EGFR,HRAS,NRG3,EREG,ERBB4","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in Low/IC1",FALSE,"SHC1 EVENTS IN ERBB2 SIGNALING",7
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING",0.360888888888889,0.628213991769547,0.0285907503359651,0.564637539770279,1.11379250702165,15,"FYN,PLXNA3,FES,PLXNA1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"CRMPS IN SEMA3A SIGNALING",4
"REACTOME_RET_SIGNALING",0.367963454170351,0.635819203897297,0.0250117630398711,0.468233941252487,1.07827379858708,36,"DOK2,PIK3CD,DOK1,GFRA2,GRB7,GFRA3,GRB2,PLCG1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"RET SIGNALING",8
"REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS",0.375569476082005,0.640409369356121,0.0241043177935426,0.453060158759378,1.07081481585716,42,"APBB1IP,ARRB2,VWF,FGG,CSK,KSR1,JAK2,FGB,RAP1B,MAP2K1,SRC,RAF1,RAP1A,KRAS,CAMK2G,TLN1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"SIGNALING BY MODERATE KINASE ACTIVITY BRAF MUTANTS",16
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",0.376070182855935,0.640409369356121,0.0194149059486147,0.366845983405958,1.05095648407915,276,"CSF2RB,JAK3,PTPN7,PRKCQ,CSF2RA,RASAL3,IL2RA,IL2RG,FYN,APBB1IP,ARRB2,VWF,IL2RB,IL6,FGG,CSK,RASGRP4,TEK,IL6R,ANGPT1,PSMD7,RASGRP1,KSR1,JAK2,GFRA2,PSMD2,RASGRP3,PAK1,MAPK12,GFRA3,FGB,TYK2,NCOA3,KLB,RAP1B,SPTBN5,GRB2,MOV10,ABHD17B,PRKG2,NEFL,KITLG,RCE1,LYPLA1,MAP2K1,SRC,FGF7,DUSP1","Normal","IC1_vs_IC2","ReactomeImmune","Enriched in High/IC2",FALSE,"MAPK FAMILY SIGNALING CASCADES",48
