"feature","feature_clean","method","mean_g1","mean_g2","diff","p_value","group1","group2","higher_in","FDR","significant","bio_type"
"ssGSEA_T_cells_CD8","T_cells_CD8","ssGSEA",-0.527624998519648,0.974076920343965,1.50170191886361,1.40778468821298e-05,"IC1","IC2","IC2",7.54572592882157e-05,TRUE,"Cytotoxic/NK"
"ssGSEA_Antigen_presentation","Antigen_presentation","ssGSEA",-0.491976259074616,0.908263862906982,1.4002401219816,1.40778468821298e-05,"IC1","IC2","IC2",7.54572592882157e-05,TRUE,"Myeloid/APC"
"ssGSEA_Chemokines","Chemokines","ssGSEA",-0.506960120187843,0.935926375731402,1.44288649591924,1.87722186935338e-05,"IC1","IC2","IC2",8.98384751761973e-05,TRUE,"Inflammatory"
"GSVA_Cytotoxicity","Cytotoxicity","GSVA",-0.474706222265664,0.876380718028919,1.35108694029458,1.87722186935338e-05,"IC1","IC2","IC2",8.98384751761973e-05,TRUE,"Cytotoxic/NK"
"quanTIseq_T.cells.CD8","T.cells.CD8","quanTIseq",-0.474419798890962,0.875851936414083,1.35027173530505,1.87722186935338e-05,"IC1","IC2","IC2",8.98384751761973e-05,TRUE,"Cytotoxic/NK"
"ssGSEA_HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","ssGSEA",-0.515300931408582,0.951324796446612,1.46662572785519,2.16457952987929e-05,"IC1","IC2","IC2",0.000100018502415112,TRUE,"Other (ssGSEA)"
"GSVA_HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","GSVA",-0.543463948720656,1.0033180591766,1.54678200789725,2.49350714386316e-05,"IC1","IC2","IC2",0.000111376652425888,TRUE,"Other (GSVA)"
"MCP_Monocytic lineage","Monocytic lineage","MCP",-0.400283739937425,0.738985366038324,1.13926910597575,2.86963747634498e-05,"IC1","IC2","IC2",0.000124042394138783,TRUE,"Myeloid/APC"
"ssGSEA_Dendritic_cells","Dendritic_cells","ssGSEA",-0.500419697842039,0.923851749862226,1.42427144770426,3.29930927392275e-05,"IC1","IC2","IC2",0.000133971952335045,TRUE,"Myeloid/APC"
"MCP_Cytotoxic lymphocytes","Cytotoxic lymphocytes","MCP",-0.165547450398594,0.305626062274327,0.471173512672921,3.29930927392275e-05,"IC1","IC2","IC2",0.000133971952335045,TRUE,"Cytotoxic/NK"
"GSVA_Macrophages_M1","Macrophages_M1","GSVA",-0.485932168269634,0.897105541420862,1.3830377096905,4.34865197267085e-05,"IC1","IC2","IC2",0.000171388048334675,TRUE,"Myeloid/APC"
"xCell_CD8+ Tcm","CD8+ Tcm","xCell",-0.459007625846751,0.847398693870924,1.30640631971767,5.01463695079322e-05,"IC1","IC2","IC2",0.000181611176055755,TRUE,"Cytotoxic/NK"
"xCell_iDC","iDC","xCell",-0.429935766951816,0.793727569757198,1.22366333670901,4.98529374062914e-05,"IC1","IC2","IC2",0.000181611176055755,TRUE,"Myeloid/APC"
"ssGSEA_Cytotoxicity","Cytotoxicity","ssGSEA",-0.427451057244435,0.789140413374342,1.21659147061878,4.98529374062914e-05,"IC1","IC2","IC2",0.000181611176055755,TRUE,"Cytotoxic/NK"
"GSVA_B_cells","B_cells","GSVA",-0.453617274170858,0.837447275392354,1.29106454956321,5.70962210057568e-05,"IC1","IC2","IC2",0.000201339305651879,TRUE,"B cell/Humoral"
"GSVA_Chemokines","Chemokines","GSVA",-0.479542692795243,0.88530958669891,1.36485227949415,7.46763539385814e-05,"IC1","IC2","IC2",0.000250165785694248,TRUE,"Inflammatory"
"xCell_Macrophages M1","Macrophages M1","xCell",-0.459236879096679,0.847821930640023,1.3070588097367,7.46763539385814e-05,"IC1","IC2","IC2",0.000250165785694248,TRUE,"Myeloid/APC"
"GSVA_Macrophages_M2","Macrophages_M2","GSVA",-0.439004496924563,0.810469840476116,1.24947433740068,8.52791249366148e-05,"IC1","IC2","IC2",0.000278717140036741,TRUE,"Suppressive"
"ssGSEA_Immunosuppression","Immunosuppression","ssGSEA",-0.453847234876788,0.83787181823407,1.29171905311086,9.72935118579338e-05,"IC1","IC2","IC2",0.000310412633070551,TRUE,"Suppressive"
"GSVA_Antigen_presentation","Antigen_presentation","GSVA",-0.469658349177898,0.867061567713042,1.33671991689094,0.000110893681158645,"IC1","IC2","IC2",0.000330216739450187,TRUE,"Myeloid/APC"
"ssGSEA_Macrophages_M1","Macrophages_M1","ssGSEA",-0.463694640059231,0.856051643186274,1.3197462832455,0.000110893681158645,"IC1","IC2","IC2",0.000330216739450187,TRUE,"Myeloid/APC"
